driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s,laps_clean,position,winner_time_s,best_race_lap_s,race_max_laps,rel_laps,time_from_winner_s,best_lap_from_best_s,avg_lap_time_s,finished,is_dnf,is_dns,is_dsq,position_clean,team_avg_pos_season,team_speed,driver_speed,driver_top10_rate,race_avg_lap_time_s,driver_vs_team,lap_vs_race_avg,session_round
2228E. TrulliTRUCarlin,15,28:30.433,30.145,0.930,182.24,1:40.126,15,1037,2022,ROUND9Summary,,,2228,E  Trulli,TRU,Carlin,1710.433,100.126,30.145,15.0,22.0,1515.675,98.887,15.0,1.0,194.75800000000004,1.2390000000000043,114.02886666666667,1,0,0,0,22.0,16.956521739130434,117.87606165327249,118.27642609836757,0.0,113.67909519884877,-3.847194986605814,0.34977146781790225,9
2315A. FamularoFAMCharouz Racing System,15,28:43.397,43.109,12.964,180.869,1:40.405,10,1037,2022,ROUND9Summary,,,2315,A  Famularo,FAM,Charouz Racing System,1723.397,100.405,43.109,15.0,23.0,1515.675,98.887,15.0,1.0,207.72199999999998,1.5180000000000007,114.89313333333332,1,0,0,0,23.0,20.91304347826087,121.78714174023487,114.89313333333332,0.0,113.67909519884877,-6.894008406901548,1.2140381344845537,9
249J. CorreaJCOART Grand Prix,15,29:02.115,61.827,18.718,178.925,1:39.427,8,1037,2022,ROUND9Summary,,,249,J  Correa,JCO,ART Grand Prix,1742.115,99.427,61.827,15.0,24.0,1515.675,98.887,15.0,1.0,226.44000000000005,0.5400000000000063,116.141,1,0,0,0,24.0,9.5,119.54236629086725,120.68487441308993,0.375,113.67909519884877,-3.4013662908672444,2.461904801151235,9
2517K. FrederickFREHitech Grand Prix,15,29:02.856,62.568,0.741,178.849,1:40.106,8,1037,2022,ROUND9Summary,,,2517,K  Frederick,FRE,Hitech Grand Prix,1742.856,100.106,62.568,15.0,25.0,1515.675,98.887,15.0,1.0,227.18100000000004,1.218999999999994,116.1904,1,0,0,0,25.0,14.64,118.58528678994828,117.5024582458363,0.3333333333333333,113.67909519884877,-2.3948867899482877,2.5113048011512262,9
2622J. MartíMARCampos Racing,15,29:33.305,93.017,30.449,175.778,1:39.305,8,1037,2022,ROUND9Summary,,,2622,J  Martí,MAR,Campos Racing,1773.305,99.305,93.017,15.0,26.0,1515.675,98.887,15.0,1.0,257.6300000000001,0.41800000000000637,118.22033333333334,1,0,0,0,26.0,16.545454545454547,118.69282157916206,118.21652617180504,0.0,113.67909519884877,-0.47248824582871407,4.541238134484573,9
DNF11A. SmolyarSMOMP Motorsport,14,26:47.007,DNF,-,180.991,1:39.695,7,1037,2022,ROUND9Summary,,DNF,11,A  Smolyar,SMO,MP Motorsport,1607.007,99.695,,14.0,,1515.675,98.887,15.0,0.9333333333333333,91.33200000000011,0.8079999999999927,114.7862142857143,0,1,0,0,,12.304347826086957,117.034741826324,115.98716187745528,0.5,113.67909519884877,-2.2485275406097003,1.1071190868655236,9
DNF8G. SaucySAUART Grand Prix,13,25:15.675,DNF,-,178.138,1:39.416,9,1037,2022,ROUND9Summary,,DNF,8,G  Saucy,SAU,ART Grand Prix,1515.675,99.416,,13.0,,1515.675,98.887,15.0,0.8666666666666667,0.0,0.5289999999999964,116.59038461538461,0,1,0,0,,9.5,119.54236629086725,118.40382545792373,0.1111111111111111,113.67909519884877,-2.9519816754826422,2.911289416535837,9
15G. BortoletoBORTrident,22,44:33.107,-,-,160.017,1:50.743,2,1039,2023,ROUND1Summary,,,15,G  Bortoleto,BOR,Trident,2673.107,110.743,,22.0,1.0,693.115,110.743,22.0,1.0,1979.992,0.0,121.50486363636364,1,0,0,0,1.0,9.76,116.92273374285985,115.97615062204665,0.8888888888888888,122.26251051226551,4.58212989350379,-0.7576468759018695,1
26O. GoetheGOETrident,22,44:33.976,0.869,0.869,159.965,1:51.654,2,1039,2023,ROUND1Summary,,,26,O  Goethe,GOE,Trident,2673.976,111.654,0.869,22.0,2.0,693.115,110.743,22.0,1.0,1980.861,0.9110000000000014,121.54436363636364,1,0,0,0,2.0,9.76,116.92273374285985,115.1636023619979,0.3333333333333333,122.26251051226551,4.621629893503794,-0.7181468759018657,1
32D. BeganovicBEGPREMA Racing,22,44:34.216,1.109,0.240,159.951,1:52.077,2,1039,2023,ROUND1Summary,,,32,D  Beganovic,BEG,PREMA Racing,2674.216,112.077,1.109,22.0,3.0,693.115,110.743,22.0,1.0,1981.1009999999999,1.3340000000000032,121.55527272727272,1,0,0,0,3.0,7.666666666666667,116.05260925294857,115.92847043639546,0.6666666666666666,122.26251051226551,5.502663474324152,-0.7072377849927847,1
48G. SaucySAUART Grand Prix,22,44:34.431,1.324,0.215,159.938,1:51.316,2,1039,2023,ROUND1Summary,,,48,G  Saucy,SAU,ART Grand Prix,2674.431,111.316,1.324,22.0,4.0,693.115,110.743,22.0,1.0,1981.316,0.5730000000000075,121.56504545454546,1,0,0,0,4.0,16.08695652173913,117.7594891858589,117.08186764158235,0.4444444444444444,122.26251051226551,3.8055562686865585,-0.6974650577200521,1
516L. BrowningBROHitech Pulse-Eight,22,44:34.798,1.691,0.367,159.916,1:52.388,6,1039,2023,ROUND1Summary,,,516,L  Browning,BRO,Hitech Pulse-Eight,2674.798,112.388,1.691,22.0,5.0,693.115,110.743,22.0,1.0,1981.6829999999998,1.6450000000000102,121.58172727272726,1,0,0,0,5.0,11.8,115.74251118685403,117.30035550127789,0.3333333333333333,122.26251051226551,5.8392160858732325,-0.6807832395382434,1
623J. MartíMARCampos Racing,22,44:34.955,1.848,0.157,159.907,1:52.686,4,1039,2023,ROUND1Summary,,,623,J  Martí,MAR,Campos Racing,2674.955,112.686,1.848,22.0,6.0,693.115,110.743,22.0,1.0,1981.84,1.943000000000012,121.58886363636363,1,0,0,0,6.0,10.884615384615385,116.15091628530566,115.2003549064639,0.8888888888888888,122.26251051226551,5.4379473510579714,-0.6736468759018805,1
77K. FrederickFREART Grand Prix,22,44:35.221,2.114,0.266,159.891,1:52.109,2,1039,2023,ROUND1Summary,,,77,K  Frederick,FRE,ART Grand Prix,2675.221,112.109,2.114,22.0,7.0,693.115,110.743,22.0,1.0,1982.106,1.3659999999999997,121.60095454545454,1,0,0,0,7.0,16.08695652173913,117.7594891858589,119.40022290281735,0.1111111111111111,122.26251051226551,3.841465359595645,-0.6615559668109654,1
815G. MinìMINHitech Pulse-Eight,22,44:37.707,4.600,2.486,159.742,1:51.322,2,1039,2023,ROUND1Summary,,,815,G  Minì,MIN,Hitech Pulse-Eight,2677.707,111.322,4.6,22.0,8.0,693.115,110.743,22.0,1.0,1984.5919999999999,0.5790000000000077,121.71395454545454,1,0,0,0,8.0,11.8,115.74251118685403,113.77758732365452,0.4444444444444444,122.26251051226551,5.97144335860051,-0.5485559668109659,1
914S. MontoyaMONHitech Pulse-Eight,22,44:39.921,6.814,2.214,159.61,1:52.947,3,1039,2023,ROUND1Summary,,,914,S  Montoya,MON,Hitech Pulse-Eight,2679.921,112.947,6.814,22.0,9.0,693.115,110.743,22.0,1.0,1986.8059999999998,2.2040000000000077,121.8145909090909,1,0,0,0,9.0,11.8,115.74251118685403,115.90397525272972,0.4444444444444444,122.26251051226551,6.0720797222368645,-0.4479196031746113,1
1010F. ColapintoCOLMP Motorsport,22,44:42.941,9.834,3.020,159.431,1:52.758,3,1039,2023,ROUND1Summary,,,1010,F  Colapinto,COL,MP Motorsport,2682.941,112.758,9.834,22.0,10.0,693.115,110.743,22.0,1.0,1989.8259999999998,2.0150000000000006,121.95186363636363,1,0,0,0,10.0,11.130434782608695,119.88027572665177,112.46031551438814,0.7777777777777778,122.26251051226551,2.0715879097118517,-0.310646875901881,1
113Z. O'SullivanOSUPREMA Racing,22,44:48.938,15.831,2.650,159.075,1:52.659,4,1039,2023,ROUND1Summary,,,113,Z  O'Sullivan,OSU,PREMA Racing,2688.938,112.659,15.831,22.0,11.0,693.115,110.743,22.0,1.0,1995.823,1.916000000000011,122.22445454545455,1,0,0,0,11.0,7.666666666666667,116.05260925294857,115.99885357413632,0.6666666666666666,122.26251051226551,6.171845292505978,-0.03805596681095835,1
121P. AronAROPREMA Racing,22,44:51.288,13.181,3.347,159.232,1:52.146,3,1039,2023,ROUND1Summary,,,121,P  Aron,ARO,PREMA Racing,2691.288,112.146,13.181,22.0,12.0,693.115,110.743,22.0,1.0,1998.173,1.4030000000000058,122.33127272727273,1,0,0,0,12.0,7.666666666666667,116.05260925294857,116.23050374831392,0.7777777777777778,122.26251051226551,6.278663474324162,0.06876221500722579,1
1324C. MansellMANCampos Racing,22,44:51.372,18.265,2.434,158.931,1:53.088,4,1039,2023,ROUND1Summary,,,1324,C  Mansell,MAN,Campos Racing,2691.372,113.088,18.265,22.0,13.0,693.115,110.743,22.0,1.0,1998.2569999999998,2.344999999999999,122.33509090909091,1,0,0,0,13.0,10.884615384615385,116.15091628530566,116.11257589435905,0.6666666666666666,122.26251051226551,6.184174623785253,0.0725803968254013,1
1417C. ColletCCOVan Amersfoort Racing,22,44:52.309,19.202,0.937,158.876,1:53.001,4,1039,2023,ROUND1Summary,,,1417,C  Collet,CCO,Van Amersfoort Racing,2692.309,113.001,19.202,22.0,14.0,693.115,110.743,22.0,1.0,1999.1940000000002,2.2580000000000098,122.37768181818183,1,0,0,0,14.0,16.24,116.85182093964313,116.62552124222894,0.3333333333333333,122.26251051226551,5.525860878538694,0.11517130591631997,1
159N. TsolovTSOART Grand Prix,22,44:52.334,19.227,0.025,158.875,1:52.811,3,1039,2023,ROUND1Summary,,,159,N  Tsolov,TSO,ART Grand Prix,2692.334,112.811,19.227,22.0,15.0,693.115,110.743,22.0,1.0,1999.2189999999998,2.068000000000012,122.37881818181818,1,0,0,0,15.0,16.08695652173913,117.7594891858589,116.79637701317695,0.0,122.26251051226551,4.619328995959279,0.11630766955266836,1
1627T. BarnardBARJenzer Motorsport,22,44:52.709,19.602,0.375,158.852,1:53.114,4,1039,2023,ROUND1Summary,,,1627,T  Barnard,BAR,Jenzer Motorsport,2692.709,113.114,19.602,22.0,16.0,693.115,110.743,22.0,1.0,1999.5939999999998,2.3710000000000093,122.39586363636363,1,0,0,0,16.0,14.666666666666666,116.5931699829908,116.14232125097831,0.5555555555555556,122.26251051226551,5.8026936533728275,0.1333531240981216,1
1726N. BedrinBEDJenzer Motorsport,22,44:55.129,22.022,2.420,158.71,1:53.341,3,1039,2023,ROUND1Summary,,,1726,N  Bedrin,BED,Jenzer Motorsport,2695.129,113.341,22.022,22.0,17.0,693.115,110.743,22.0,1.0,2002.014,2.597999999999999,122.50586363636363,1,0,0,0,17.0,14.666666666666666,116.5931699829908,116.10332703974443,0.1111111111111111,122.26251051226551,5.912693653372827,0.24335312409812104,1
1822I. CohenCOHCarlin,22,44:58.309,25.202,0.114,158.523,1:52.931,3,1039,2023,ROUND1Summary,,,1822,I  Cohen,COH,Carlin,2698.309,112.931,25.202,22.0,18.0,693.115,110.743,22.0,1.0,2005.1940000000002,2.1880000000000024,122.6504090909091,1,0,0,0,18.0,19.736842105263158,119.5955435796296,122.2920570420369,0.0,122.26251051226551,3.0548655112794876,0.38789857864358623,1
1918R. VillagómezVILVan Amersfoort Racing,22,44:58.743,25.636,0.434,158.497,1:53.198,4,1039,2023,ROUND1Summary,,,1918,R  Villagómez,VIL,Van Amersfoort Racing,2698.743,113.198,25.636,22.0,19.0,693.115,110.743,22.0,1.0,2005.628,2.4549999999999983,122.67013636363636,1,0,0,0,19.0,16.24,116.85182093964313,116.88903270342618,0.1111111111111111,122.26251051226551,5.818315423993226,0.4076258513708524,1
2029S. FloerschFLOPHM Racing by Charouz,22,45:01.540,28.433,2.797,158.333,1:53.547,5,1039,2023,ROUND1Summary,,,2029,S  Floersch,FLO,PHM Racing by Charouz,2701.54,113.547,28.433,22.0,20.0,693.115,110.743,22.0,1.0,2008.425,2.804000000000002,122.79727272727273,1,0,0,0,20.0,20.61904761904762,119.17063068676134,116.66848106868845,0.1111111111111111,122.26251051226551,3.626642040511385,0.5347622150072198,1
2120O. GrayGRACarlin,22,45:03.195,25.088,3.066,158.529,1:53.208,4,1039,2023,ROUND1Summary,,,2120,O  Gray,GRA,Carlin,2703.195,113.208,25.088,22.0,21.0,693.115,110.743,22.0,1.0,2010.0800000000002,2.4650000000000034,122.8725,1,0,0,0,21.0,19.736842105263158,119.5955435796296,117.62266529857341,0.0,122.26251051226551,3.2769564203703965,0.6099894877344951,1
2221H. YeanyYEACarlin,22,45:08.568,35.461,7.028,157.922,1:53.215,3,1039,2023,ROUND1Summary,,,2221,H  Yeany,YEA,Carlin,2708.568,113.215,35.461,22.0,22.0,693.115,110.743,22.0,1.0,2015.4530000000002,2.4720000000000084,123.11672727272729,1,0,0,0,22.0,19.736842105263158,119.5955435796296,107.42983049108702,0.0,122.26251051226551,3.521183693097683,0.8542167604617816,1
2312J. EdgarEDGMP Motorsport,22,45:09.289,36.182,0.721,157.88,1:52.623,2,1039,2023,ROUND1Summary,,,2312,J  Edgar,EDG,MP Motorsport,2709.289,112.623,36.182,22.0,23.0,693.115,110.743,22.0,1.0,2016.1740000000002,1.8800000000000097,123.1495,1,0,0,0,23.0,11.130434782608695,119.88027572665177,131.1627748994656,0.3333333333333333,122.26251051226551,3.269224273348229,0.8869894877344962,1
2431P. WisnickiWISPHM Racing by Charouz,22,45:10.472,37.365,1.183,157.811,1:54.025,6,1039,2023,ROUND1Summary,,,2431,P  Wisnicki,WIS,PHM Racing by Charouz,2710.472,114.025,37.365,22.0,24.0,693.115,110.743,22.0,1.0,2017.3570000000002,3.2820000000000107,123.20327272727273,1,0,0,0,24.0,20.61904761904762,119.17063068676134,114.48480707070708,0.0,122.26251051226551,4.032642040511391,0.9407622150072257,1
2530R. FariaFARPHM Racing by Charouz,22,45:18.411,45.304,7.939,157.351,1:54.282,5,1039,2023,ROUND1Summary,,,2530,R  Faria,FAR,PHM Racing by Charouz,2718.411,114.282,45.304,22.0,25.0,693.115,110.743,22.0,1.0,2025.296,3.5390000000000015,123.56413636363636,1,0,0,0,25.0,20.61904761904762,119.17063068676134,119.6535308724295,0.0,122.26251051226551,4.393505676875023,1.3016258513708578,1
2625H. BarterBARCampos Racing,22,45:40.622,67.515,22.211,156.075,1:52.349,2,1039,2023,ROUND1Summary,,,2625,H  Barter,BAR,Campos Racing,2740.622,112.349,67.515,22.0,26.0,693.115,110.743,22.0,1.0,2047.5069999999998,1.6060000000000088,124.57372727272727,1,0,0,0,26.0,10.884615384615385,116.15091628530566,114.92019412150461,0.125,122.26251051226551,8.422810987421613,2.311216760461761,1
274L. FornaroliFORTrident,21,45:04.980,1 LAP,1 LAP,150.929,1:52.030,3,1039,2023,ROUND1Summary,,,274,L  Fornaroli,FOR,Trident,2704.98,112.03,,21.0,27.0,693.115,110.743,22.0,0.9545454545454546,2011.865,1.2870000000000061,128.80857142857144,1,0,0,0,27.0,9.76,116.92273374285985,119.43298920221702,0.4444444444444444,122.26251051226551,11.885837685711593,6.546060916305933,1
DNF19T. SmithSMIVan Amersfoort Racing,20,40:17.947,DNF,-,160.788,1:53.263,11,1039,2023,ROUND1Summary,,DNF,19,T  Smith,SMI,Van Amersfoort Racing,2417.947,113.263,,20.0,,693.115,110.743,22.0,0.9090909090909091,1724.832,2.5200000000000102,120.89735,0,1,0,0,,16.24,116.85182093964313,117.04090887327428,0.0,122.26251051226551,4.04552906035687,-1.3651605122655042,1
DNF28A. GarcíaGARJenzer Motorsport,19,38:20.558,DNF,-,160.524,1:53.898,6,1039,2023,ROUND1Summary,,DNF,28,A  García,GAR,Jenzer Motorsport,2300.558,113.898,,19.0,,693.115,110.743,22.0,0.8636363636363636,1607.443,3.155000000000001,121.082,0,1,0,0,,14.666666666666666,116.5931699829908,117.53386165824966,0.1111111111111111,122.26251051226551,4.488830017009192,-1.1805105122655135,1
DNF11M. BoyaBOYMP Motorsport,6,11:33.115,DNF,-,167.38,1:53.113,4,1039,2023,ROUND1Summary,,DNF,11,M  Boya,BOY,MP Motorsport,693.115,113.113,,6.0,,693.115,110.743,22.0,0.2727272727272727,0.0,2.3700000000000045,115.51916666666666,0,1,0,0,,11.130434782608695,119.88027572665177,115.19329674251675,0.3333333333333333,122.26251051226551,-4.361109059985111,-6.743343845598844,1
15G. BortoletoBORTrident,23,43:41.950,-,-,166.676,1:34.570,10,1040,2023,ROUND2Summary,,,15,G  Bortoleto,BOR,Trident,2621.95,94.57,,23.0,1.0,105.471,94.405,23.0,1.0,2516.479,0.16499999999999204,113.99782608695651,1,0,0,0,1.0,9.76,116.92273374285985,115.97615062204665,0.8888888888888888,117.26497555199674,-2.92490765590334,-3.2671494650402337,2
28G. SaucySAUART Grand Prix,23,43:42.546,0.596,0.596,166.638,1:34.405,17,1040,2023,ROUND2Summary,,,28,G  Saucy,SAU,ART Grand Prix,2622.546,94.405,0.596,23.0,2.0,105.471,94.405,23.0,1.0,2517.075,0.0,114.02373913043478,1,0,0,0,2.0,16.08695652173913,117.7594891858589,117.08186764158235,0.4444444444444444,117.26497555199674,-3.73575005542412,-3.2412364215619647,2
315G. MinìMINHitech Pulse-Eight,23,43:44.982,3.032,2.436,166.484,1:34.769,17,1040,2023,ROUND2Summary,,,315,G  Minì,MIN,Hitech Pulse-Eight,2624.982,94.769,3.032,23.0,3.0,105.471,94.405,23.0,1.0,2519.511,0.3640000000000043,114.12965217391304,1,0,0,0,3.0,11.8,115.74251118685403,113.77758732365452,0.4444444444444444,117.26497555199674,-1.6128590129409872,-3.1353233780836973,2
44L. FornaroliFORTrident,23,43:45.166,3.216,0.184,166.472,1:34.774,20,1040,2023,ROUND2Summary,,,44,L  Fornaroli,FOR,Trident,2625.166,94.774,3.216,23.0,4.0,105.471,94.405,23.0,1.0,2519.695,0.3689999999999998,114.13765217391305,1,0,0,0,4.0,9.76,116.92273374285985,119.43298920221702,0.4444444444444444,117.26497555199674,-2.7850815689467936,-3.1273233780836875,2
53Z. O'SullivanOSUPREMA Racing,23,43:45.514,3.564,0.348,166.450,1:34.624,17,1040,2023,ROUND2Summary,,,53,Z  O'Sullivan,OSU,PREMA Racing,2625.514,94.624,3.564,23.0,5.0,105.471,94.405,23.0,1.0,2520.043,0.2189999999999941,114.15278260869566,1,0,0,0,5.0,7.666666666666667,116.05260925294857,115.99885357413632,0.6666666666666666,117.26497555199674,-1.8998266442529115,-3.112192943301082,2
61P. AronAROPREMA Racing,23,43:46.343,4.393,0.829,166.398,1:34.517,18,1040,2023,ROUND2Summary,,,61,P  Aron,ARO,PREMA Racing,2626.343,94.517,4.393,23.0,6.0,105.471,94.405,23.0,1.0,2520.872,0.11199999999999477,114.18882608695651,1,0,0,0,6.0,7.666666666666667,116.05260925294857,116.23050374831392,0.7777777777777778,117.26497555199674,-1.8637831659920607,-3.0761494650402312,2
723J. MartíMARCampos Racing,23,43:50.688,8.738,4.345,166.123,1:34.533,8,1040,2023,ROUND2Summary,,,723,J  Martí,MAR,Campos Racing,2630.688,94.533,8.738,23.0,7.0,105.471,94.405,23.0,1.0,2525.217,0.1280000000000001,114.37773913043479,1,0,0,0,7.0,10.884615384615385,116.15091628530566,115.2003549064639,0.8888888888888888,117.26497555199674,-1.773177154870865,-2.8872364215619513,2
816L. BrowningBROHitech Pulse-Eight,23,43:51.141,9.191,0.453,166.094,1:34.572,11,1040,2023,ROUND2Summary,,,816,L  Browning,BRO,Hitech Pulse-Eight,2631.141,94.572,9.191,23.0,8.0,105.471,94.405,23.0,1.0,2525.67,0.1670000000000016,114.3974347826087,1,0,0,0,8.0,11.8,115.74251118685403,117.30035550127789,0.3333333333333333,117.26497555199674,-1.345076404245333,-2.867540769388043,2
927T. BarnardBARJenzer Motorsport,23,43:55.539,13.589,4.398,165.817,1:34.880,17,1040,2023,ROUND2Summary,,,927,T  Barnard,BAR,Jenzer Motorsport,2635.539,94.88,13.589,23.0,9.0,105.471,94.405,23.0,1.0,2530.068,0.4749999999999943,114.58865217391305,1,0,0,0,9.0,14.666666666666666,116.5931699829908,116.14232125097831,0.5555555555555556,117.26497555199674,-2.004517809077754,-2.676323378083694,2
1024C. MansellMANCampos Racing,23,43:56.306,14.356,0.767,165.769,1:34.542,17,1040,2023,ROUND2Summary,,,1024,C  Mansell,MAN,Campos Racing,2636.306,94.542,14.356,23.0,10.0,105.471,94.405,23.0,1.0,2530.835,0.13700000000000045,114.622,1,0,0,0,10.0,10.884615384615385,116.15091628530566,116.11257589435905,0.6666666666666666,117.26497555199674,-1.5289162853056553,-2.6429755519967415,2
1112J. EdgarEDGMP Motorsport,23,43:56.878,14.928,0.572,165.733,1:34.649,9,1040,2023,ROUND2Summary,,,1112,J  Edgar,EDG,MP Motorsport,2636.878,94.649,14.928,23.0,11.0,105.471,94.405,23.0,1.0,2531.407,0.24399999999999977,114.6468695652174,1,0,0,0,11.0,11.130434782608695,119.88027572665177,131.1627748994656,0.3333333333333333,117.26497555199674,-5.233406161434374,-2.618105986779341,2
1219T. SmithSMIVan Amersfoort Racing,23,43:57.532,15.582,0.654,165.692,1:35.208,19,1040,2023,ROUND2Summary,,,1219,T  Smith,SMI,Van Amersfoort Racing,2637.532,95.208,15.582,23.0,12.0,105.471,94.405,23.0,1.0,2532.061,0.8029999999999973,114.6753043478261,1,0,0,0,12.0,16.24,116.85182093964313,117.04090887327428,0.0,117.26497555199674,-2.176516591817034,-2.5896712041706422,2
132D. BeganovicBEGPREMA Racing,23,44:00.507,18.55,2.975,165.505,1:34.498,21,1040,2023,ROUND2Summary,,,132,D  Beganovic,BEG,PREMA Racing,2640.507,94.498,18.55,23.0,13.0,105.471,94.405,23.0,1.0,2535.036,0.09300000000000352,114.80465217391304,1,0,0,0,13.0,7.666666666666667,116.05260925294857,115.92847043639546,0.6666666666666666,117.26497555199674,-1.2479570790355297,-2.4603233780837,2
1420O. GrayGRACarlin,23,44:00.716,18.766,0.209,165.492,1:35.561,19,1040,2023,ROUND2Summary,,,1420,O  Gray,GRA,Carlin,2640.716,95.561,18.766,23.0,14.0,105.471,94.405,23.0,1.0,2535.245,1.156000000000006,114.81373913043478,1,0,0,0,14.0,19.736842105263158,119.5955435796296,117.62266529857341,0.0,117.26497555199674,-4.781804449194823,-2.4512364215619584,2
1525H. BarterBARCampos Racing,23,44:00.984,19.034,0.268,165.475,1:35.163,19,1040,2023,ROUND2Summary,,,1525,H  Barter,BAR,Campos Racing,2640.984,95.163,19.034,23.0,15.0,105.471,94.405,23.0,1.0,2535.513,0.7579999999999956,114.82539130434782,1,0,0,0,15.0,10.884615384615385,116.15091628530566,114.92019412150461,0.125,117.26497555199674,-1.3255249809578373,-2.4395842476489236,2
1617C. ColletCCOVan Amersfoort Racing,23,44:01.376,19.426,0.392,165.451,1:34.468,18,1040,2023,ROUND2Summary,,,1617,C  Collet,CCO,Van Amersfoort Racing,2641.376,94.468,19.426,23.0,16.0,105.471,94.405,23.0,1.0,2535.905,0.06300000000000239,114.8424347826087,1,0,0,0,16.0,16.24,116.85182093964313,116.62552124222894,0.3333333333333333,117.26497555199674,-2.0093861570344274,-2.4225407693880356,2
1721H. YeanyYEACarlin,23,44:01.595,19.645,0.219,165.437,1:35.550,19,1040,2023,ROUND2Summary,,,1721,H  Yeany,YEA,Carlin,2641.595,95.55,19.645,23.0,17.0,105.471,94.405,23.0,1.0,2536.124,1.144999999999996,114.85195652173913,1,0,0,0,17.0,19.736842105263158,119.5955435796296,107.42983049108702,0.0,117.26497555199674,-4.74358705789048,-2.4130190302576153,2
1829S. FloerschFLOPHM Racing by Charouz,23,44:05.556,23.606,3.961,165.189,1:35.984,22,1040,2023,ROUND2Summary,,,1829,S  Floersch,FLO,PHM Racing by Charouz,2645.556,95.984,23.606,23.0,18.0,105.471,94.405,23.0,1.0,2540.085,1.5789999999999935,115.02417391304348,1,0,0,0,18.0,20.61904761904762,119.17063068676134,116.66848106868845,0.1111111111111111,117.26497555199674,-4.146456773717858,-2.2408016389532577,2
1918R. VillagómezVILVan Amersfoort Racing,23,44:10.626,28.676,5.070,164.873,1:35.375,21,1040,2023,ROUND2Summary,,,1918,R  Villagómez,VIL,Van Amersfoort Racing,2650.626,95.375,28.676,23.0,19.0,105.471,94.405,23.0,1.0,2545.155,0.9699999999999989,115.24460869565219,1,0,0,0,19.0,16.24,116.85182093964313,116.88903270342618,0.1111111111111111,117.26497555199674,-1.6072122439909435,-2.020366856344552,2
2028A. GarcíaGARJenzer Motorsport,23,44:11.985,30.035,1.359,164.789,1:36.568,19,1040,2023,ROUND2Summary,,,2028,A  García,GAR,Jenzer Motorsport,2651.985,96.568,30.035,23.0,20.0,105.471,94.405,23.0,1.0,2546.514,2.1629999999999967,115.30369565217391,1,0,0,0,20.0,14.666666666666666,116.5931699829908,117.53386165824966,0.1111111111111111,117.26497555199674,-1.289474330816887,-1.9612798998228271,2
219N. TsolovTSOART Grand Prix,23,44:12.014,30.064,0.029,164.787,1:35.479,22,1040,2023,ROUND2Summary,,,219,N  Tsolov,TSO,ART Grand Prix,2652.014,95.479,30.064,23.0,21.0,105.471,94.405,23.0,1.0,2546.543,1.073999999999998,115.30495652173913,1,0,0,0,21.0,16.08695652173913,117.7594891858589,116.79637701317695,0.0,117.26497555199674,-2.4545326641197676,-1.9600190302576124,2
226O. GoetheGOETrident,23,44:38.034,56.084,26.020,163.186,1:34.607,21,1040,2023,ROUND2Summary,,,226,O  Goethe,GOE,Trident,2678.034,94.607,56.084,23.0,22.0,105.471,94.405,23.0,1.0,2572.563,0.20199999999999818,116.43626086956522,1,0,0,0,22.0,9.76,116.92273374285985,115.1636023619979,0.3333333333333333,117.26497555199674,-0.4864728732946304,-0.8287146824315244,2
DNF26N. BedrinBEDJenzer Motorsport,22,42:21.514,DNF,-,164.475,1:35.204,22,1040,2023,ROUND2Summary,,DNF,26,N  Bedrin,BED,Jenzer Motorsport,2541.514,95.204,,22.0,,105.471,94.405,23.0,0.9565217391304348,2436.043,0.7989999999999924,115.52336363636364,0,1,0,0,,14.666666666666666,116.5931699829908,116.10332703974443,0.1111111111111111,117.26497555199674,-1.0698063466271606,-1.7416119156331007,2
DNF22I. CohenCOHCarlin,11,22:00.643,DNF,-,158.262,1:35.999,10,1040,2023,ROUND2Summary,,DNF,22,I  Cohen,COH,Carlin,1320.643,95.999,,11.0,,105.471,94.405,23.0,0.4782608695652174,1215.172,1.593999999999994,120.05845454545455,0,1,0,0,,19.736842105263158,119.5955435796296,122.2920570420369,0.0,117.26497555199674,0.4629109658249462,2.7934789934578106,2
DNF30R. FariaFARPHM Racing by Charouz,8,19:00.521,DNF,-,133.278,1:37.320,7,1040,2023,ROUND2Summary,,DNF,30,R  Faria,FAR,PHM Racing by Charouz,1140.521,97.32,,8.0,,105.471,94.405,23.0,0.34782608695652173,1035.05,2.914999999999992,142.565125,0,1,0,0,,20.61904761904762,119.17063068676134,119.6535308724295,0.0,117.26497555199674,23.394494313238653,25.300149448003253,2
DNF31P. WisnickiWISPHM Racing by Charouz,6,13:55.224,DNF,-,136.496,1:38.473,6,1040,2023,ROUND2Summary,,DNF,31,P  Wisnicki,WIS,PHM Racing by Charouz,835.224,98.473,,6.0,,105.471,94.405,23.0,0.2608695652173913,729.753,4.067999999999998,139.204,0,1,0,0,,20.61904761904762,119.17063068676134,114.48480707070708,0.0,117.26497555199674,20.033369313238666,21.939024448003266,2
DNF7K. FrederickFREART Grand Prix,4,9:40.672,DNF,-,130.888,2:01.663,2,1040,2023,ROUND2Summary,,DNF,7,K  Frederick,FRE,ART Grand Prix,580.672,121.663,,4.0,,105.471,94.405,23.0,0.17391304347826086,475.201,27.257999999999996,145.168,0,1,0,0,,16.08695652173913,117.7594891858589,119.40022290281735,0.1111111111111111,117.26497555199674,27.40851081414111,27.903024448003265,2
