driverId,driver_name,code,forename,surname,nationality,year,constructorId,n_races,total_points,avg_points,avg_grid,avg_finish,best_finish,worst_finish,wins,podiums,podium_rate,win_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_best_lap,avg_kph,avg_gap_to_winner,driver_speed,driver_vs_team_speed,finish_std,points_std,pos_change_std,avg_pos_change,dnf_count,dnf_rate,clean_race_rate,team_total_points,team_avg_points,team_avg_pos_season,team_speed,driver_vs_team_avg_finish,driver_vs_team_avg_points
839,Esteban Ocon,OCO,Esteban,Ocon,French,2024,214,23,23.0,1.0,12.565217391304348,13.695652173913043,2,20,0,1,0.043478260869565216,0.0,5,0.21739130434782608,5,0.21739130434782608,1236,89.02166666666666,212.56842857142857,49.302,89.02166666666666,0.272434108527122,3.9130873954496437,3.7416573867739413,5.207550006970535,-1.1304347826086956,16,0.6956521739130435,0.30434782608695654,63.0,1.3125,13.3125,88.74923255813954,0.383152173913043,-0.3125
840,Lance Stroll,STR,Lance,Stroll,Canadian,2019,211,21,21.0,1.0,15.285714285714286,12.761904761904763,4,20,0,0,0.0,0.0,6,0.2857142857142857,6,0.2857142857142857,1211,89.6642380952381,207.9012380952381,66.82433333333333,89.6642380952381,-0.28863995354238625,3.9230697407102246,2.6457513110645907,4.226334672254998,2.5238095238095237,15,0.7142857142857143,0.2857142857142857,73.0,1.7380952380952381,11.785714285714286,89.95287804878049,0.9761904761904763,-0.7380952380952381
840,Lance Stroll,STR,Lance,Stroll,Canadian,2020,211,16,75.0,4.6875,8.4375,10.4375,3,20,0,2,0.125,0.0,10,0.625,10,0.625,785,83.917,219.50692857142855,37.089600000000004,83.917,-0.8543870967741896,6.0988386872693505,5.770254182731756,5.240865068542279,-2.0,6,0.375,0.625,210.0,6.176470588235294,9.205882352941176,84.77138709677419,1.2316176470588243,-1.4889705882352944
840,Lance Stroll,STR,Lance,Stroll,Canadian,2021,117,22,34.0,1.5454545454545454,13.090909090909092,11.954545454545455,6,20,0,0,0.0,0.0,9,0.4090909090909091,9,0.4090909090909091,1170,86.40485,211.44520000000003,71.6471,86.40485,0.22692317073169477,4.259189199917356,2.364967989862356,4.212175713621672,1.1363636363636365,12,0.5454545454545454,0.4545454545454546,77.0,1.75,12.0,86.1779268292683,-0.04545454545454497,-0.20454545454545459
840,Lance Stroll,STR,Lance,Stroll,Canadian,2022,117,22,18.0,0.8181818181818182,14.227272727272727,12.045454545454545,6,18,0,0,0.0,0.0,8,0.36363636363636365,8,0.36363636363636365,1234,90.23518181818181,205.64422727272725,55.03623076923077,90.23518181818181,-0.14204545454545325,3.0154723664914576,1.8422647458873533,5.695749155427971,2.1818181818181817,9,0.4090909090909091,0.5909090909090908,55.0,1.25,11.886363636363637,90.37722727272727,0.15909090909090828,-0.43181818181818177
840,Lance Stroll,STR,Lance,Stroll,Canadian,2023,117,22,68.0,3.090909090909091,10.090909090909092,11.181818181818182,4,20,0,0,0.0,0.0,12,0.5454545454545454,12,0.5454545454545454,1165,87.89776190476191,212.3442380952381,51.36175,87.89776190476191,0.07129678848284016,5.252086783785621,4.069738389966923,8.023234657686038,-1.0909090909090908,6,0.2727272727272727,0.7272727272727273,266.0,6.045454545454546,8.909090909090908,87.82646511627907,2.2727272727272734,-2.954545454545455
840,Lance Stroll,STR,Lance,Stroll,Canadian,2024,117,24,24.0,1.0,12.666666666666666,13.375,6,19,0,0,0.0,0.0,6,0.25,6,0.25,1264,89.40063636363637,213.87513636363636,70.9236,89.40063636363637,0.6171030303030278,3.965201897376289,2.265046309153236,4.143923436705288,-0.7083333333333334,14,0.5833333333333334,0.41666666666666663,94.0,1.9583333333333333,11.770833333333334,88.78353333333334,1.604166666666666,-0.9583333333333333
841,Antonio Giovinazzi,GIO,Antonio,Giovinazzi,Italian,2019,51,21,14.0,0.6666666666666666,13.80952380952381,13.857142857142858,5,19,0,0,0.0,0.0,4,0.19047619047619047,4,0.19047619047619047,1211,89.87171428571429,207.35504761904764,44.59016666666667,89.87171428571429,0.08190476190476659,3.468223093829379,2.19848432637882,3.499659847416467,-0.047619047619047616,15,0.7142857142857143,0.2857142857142857,57.0,1.3571428571428572,12.738095238095237,89.78980952380952,1.1190476190476204,-0.6904761904761906
841,Antonio Giovinazzi,GIO,Antonio,Giovinazzi,Italian,2020,51,17,4.0,0.23529411764705882,16.764705882352942,14.647058823529411,9,20,0,0,0.0,0.0,3,0.17647058823529413,3,0.17647058823529413,893,89.88517647058823,210.2765294117647,36.849,89.88517647058823,2.028029411764706,3.1213213642339888,0.5622957145383871,4.4704914850212,2.1176470588235294,11,0.6470588235294118,0.3529411764705882,8.0,0.23529411764705882,13.852941176470589,87.85714705882353,0.7941176470588225,0.0
841,Antonio Giovinazzi,GIO,Antonio,Giovinazzi,Italian,2021,51,22,3.0,0.13636363636363635,12.818181818181818,13.090909090909092,9,17,0,0,0.0,0.0,2,0.09090909090909091,2,0.09090909090909091,1254,86.326,210.2094761904762,30.0345,86.326,0.05985365853656788,2.04494943258218,0.4675625290960757,4.366341153063405,-0.2727272727272727,18,0.8181818181818182,0.18181818181818177,13.0,0.29545454545454547,13.204545454545455,86.26614634146343,-0.11363636363636331,-0.15909090909090912
842,Pierre Gasly,GAS,Pierre,Gasly,French,2019,9,21,95.0,4.523809523809524,9.047619047619047,9.333333333333334,2,18,0,1,0.047619047619047616,0.0,14,0.6666666666666666,14,0.6666666666666666,1234,89.26271428571428,208.87085714285712,45.83144444444444,89.26271428571428,1.131567944250861,4.351245032554859,4.98617135304281,5.6581167992792185,-0.2857142857142857,12,0.5714285714285714,0.4285714285714286,417.0,9.928571428571429,6.261904761904762,88.13114634146342,3.071428571428572,-5.404761904761905
842,Pierre Gasly,GAS,Pierre,Gasly,French,2020,213,17,75.0,4.411764705882353,10.235294117647058,10.352941176470589,1,20,1,1,0.058823529411764705,0.058823529411764705,10,0.5882352941176471,10,0.5882352941176471,864,86.0810625,216.610875,40.060199999999995,86.0810625,-0.021028409090916966,5.589512238006419,6.295423174114387,6.556317115396956,-0.11764705882352941,7,0.4117647058823529,0.5882352941176471,107.0,3.1470588235294117,10.705882352941176,86.10209090909092,-0.352941176470587,1.2647058823529416
842,Pierre Gasly,GAS,Pierre,Gasly,French,2021,213,22,110.0,5.0,6.363636363636363,9.363636363636363,3,20,0,1,0.045454545454545456,0.0,15,0.6818181818181818,15,0.6818181818181818,1126,86.467,211.27714999999998,49.21369230769231,86.467,0.06592307692308452,5.323313097842577,4.908690058991104,6.195236265143758,-3.0,9,0.4090909090909091,0.5909090909090908,142.0,3.227272727272727,11.272727272727273,86.40107692307691,-1.90909090909091,1.772727272727273
842,Pierre Gasly,GAS,Pierre,Gasly,French,2022,213,22,23.0,1.0454545454545454,10.772727272727273,12.454545454545455,5,20,0,0,0.0,0.0,6,0.2727272727272727,6,0.2727272727272727,1237,90.45863636363636,205.17245454545454,61.405307692307694,90.45863636363636,-0.015805496828747323,3.6479253428982483,2.3599288271606986,5.093285623402486,-1.6818181818181819,9,0.4090909090909091,0.5909090909090908,35.0,0.7954545454545454,13.522727272727273,90.4744418604651,-1.0681818181818183,0.25
842,Pierre Gasly,GAS,Pierre,Gasly,French,2023,214,22,54.0,2.4545454545454546,11.136363636363637,10.681818181818182,3,20,0,1,0.045454545454545456,0.0,11,0.5,11,0.5,1248,88.302,212.61838095238096,62.93605263157895,88.302,-0.3408571428571321,3.9567466630862476,3.9002719407909514,4.992635268714001,0.45454545454545453,3,0.13636363636363635,0.8636363636363636,110.0,2.5,11.272727272727273,88.64285714285714,-0.5909090909090917,-0.045454545454545414
